Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8231,https://www.congress.gov/bill/118th-congress/house-bill/8231,"To award a congressional gold medal to James Earl Jones, an American icon, in recognition of a remarkable life in reshaping perceptions, dismantling racial barriers, and advocating for equal opportunities for people of all backgrounds in film and theatre.","Lawler, Michael [Rep.-R-NY-17]",5/2/2024,House - Financial Services,Referred to the House Committee on Financial Services.,3
H.R. 8230,https://www.congress.gov/bill/118th-congress/house-bill/8230,To streamline the permitting process for communications infrastructure on National Forest System lands.,"Johnson, Dusty [Rep.-R-SD-At Large]",5/2/2024,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8229,https://www.congress.gov/bill/118th-congress/house-bill/8229,To amend the Agricultural Act of 2014 to establish additional payments for unborn livestock under the livestock indemnity payment program.,"Jackson, Ronny [Rep.-R-TX-13]",5/2/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8228,https://www.congress.gov/bill/118th-congress/house-bill/8228,"To amend the Sarbanes-Oxley Act of 2002 to transfer the Public Company Accounting Oversight Board to the Securities and Exchange Commission, and for other purposes.","Huizenga, Bill [Rep.-R-MI-4]",5/2/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 8227,https://www.congress.gov/bill/118th-congress/house-bill/8227,To amend title XVIII of the Social Security Act to remove in-person requirements under Medicare for mental health services furnished through telehealth and telecommunications technology.,"Hern, Kevin [Rep.-R-OK-1]",5/2/2024,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8226,https://www.congress.gov/bill/118th-congress/house-bill/8226,To require the Comptroller General of the United States to carry out a study regarding major rules issued by the Securities and Exchange Commission.,"Garbarino, Andrew R. [Rep.-R-NY-2]",5/2/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 8225,https://www.congress.gov/bill/118th-congress/house-bill/8225,To require income from the first year of an apprenticeship to be disregarded in determining eligibility for assistance under the program of block grants to States for temporary assistance for needy families.,"DelBene, Suzan K. [Rep.-D-WA-1]",5/2/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,2
H.R. 8224,https://www.congress.gov/bill/118th-congress/house-bill/8224,"To establish Federal research award reimbursement limits for indirect costs for institutions of higher education, and for other purposes.","Cline, Ben [Rep.-R-VA-6]",5/2/2024,"House - Science, Space, and Technology, Education and the Workforce","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5
H.R. 8223,https://www.congress.gov/bill/118th-congress/house-bill/8223,"To improve menopause care and mid-life women's health, and for other purposes.","Blunt Rochester, Lisa [Rep.-D-DE-At Large]",5/2/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1
H.R. 8222,https://www.congress.gov/bill/118th-congress/house-bill/8222,"To amend the Securities Act of 1933 to automatically approve offering statements filed with the Securities and Exchange Commission in connection with certain securities issued under Regulation A tier 2, and for other purposes.","Barr, Andy [Rep.-R-KY-6]",5/2/2024,House - Financial Services,Referred to the House Committee on Financial Services.,1
H.R. 8221,https://www.congress.gov/bill/118th-congress/house-bill/8221,To amend the Immigration and Nationality Act with respect the removability of aliens who are charged with any crime related to their participation in pro-terrorism or antisemitism rallies or demonstrations.,"Van Duyne, Beth [Rep.-R-TX-24]",5/1/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,4
H.R. 8220,https://www.congress.gov/bill/118th-congress/house-bill/8220,To clarify coverage of occupational therapy under the Medicare program.,"Trone, David J. [Rep.-D-MD-6]",5/1/2024,"House - Ways and Means, Energy and Commerce","Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8219,https://www.congress.gov/bill/118th-congress/house-bill/8219,"To require the Secretary of the Interior to conduct a study to assess the suitability and feasibility of designating certain land as the Lahaina National Heritage Area, and for other purposes.","Tokuda, Jill N. [Rep.-D-HI-2]",5/1/2024,House - Natural Resources,Sponsor introductory remarks on measure. (CR H2882),7
H.R. 8218,https://www.congress.gov/bill/118th-congress/house-bill/8218,To amend the District of Columbia Home Rule Act to require any individual who votes in a municipal election of the District of Columbia to be a United States citizen and to provide proof of citizenship.,"Timmons, William R. [Rep.-R-SC-4]",5/1/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,4
H.R. 8217,https://www.congress.gov/bill/118th-congress/house-bill/8217,"To amend part B of title XVIII of the Social Security Act to provide for a special enrollment period under Medicare for individuals enrolled in COBRA continuation coverage, and for other purposes.","Smucker, Lloyd [Rep.-R-PA-11]",5/1/2024,"House - Energy and Commerce, Ways and Means, Education and the Workforce","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",6
H.R. 8216,https://www.congress.gov/bill/118th-congress/house-bill/8216,"To amend title 49, United States Code, to authorize appropriations for the Federal Aviation Administration for fiscal years 2024 through 2028, and for other purposes.","Ruiz, Raul [Rep.-D-CA-25]",5/1/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,0
H.R. 8215,https://www.congress.gov/bill/118th-congress/house-bill/8215,"To exempt certain vessels transporting liquefied natural gas from certain coastwise endorsement requirements, and for other purposes.","Perry, Scott [Rep.-R-PA-10]",5/1/2024,House - Transportation and Infrastructure,Sponsor introductory remarks on measure. (CR H3215),3
H.R. 8214,https://www.congress.gov/bill/118th-congress/house-bill/8214,"To ratify and approve all authorizations, permits, verifications, extensions, biological opinions, incidental take statements, and any other approvals or orders issued pursuant to Federal law necessary for the establishment and administration of the Coastal Plain oil and gas leasing program, and for other purposes.","Peltola, Mary Sattler [Rep.-D-AK-At Large]",5/1/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,0
H.R. 8213,https://www.congress.gov/bill/118th-congress/house-bill/8213,"To amend title 23, United States Code, to provide for a national standard to prevent driving while intoxicated by requiring ignition interlocks for DWI offenders.","Pappas, Chris [Rep.-D-NH-1]",5/1/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,2
H.R. 8212,https://www.congress.gov/bill/118th-congress/house-bill/8212,"To provide for nonapplicability of a policy of denial for exports, re-exports, or transfers of defense articles and defense services destined for or originating in the Republic of Cyprus.","Pappas, Chris [Rep.-D-NH-1]",5/1/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,18
H.R. 8211,https://www.congress.gov/bill/118th-congress/house-bill/8211,"To amend title 18, United States Code, to prohibit former employees of covered health agencies from serving on the board of entities involved in development and research of a drug, biological product, or device and from profiting from a drug, biological product, or device, and for other purposes.","Lesko, Debbie [Rep.-R-AZ-8]",5/1/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,8
H.R. 8210,https://www.congress.gov/bill/118th-congress/house-bill/8210,"To amend the Consolidated Farm and Rural Development Act to eliminate a requirement that certain individuals be related by blood or marriage to be eligible for farm loans as a qualified beginning farmer or rancher, and for other purposes.","Lee, Summer L. [Rep.-D-PA-12]",5/1/2024,"House - Agriculture, Judiciary",Referred to the House Committee on Agriculture.,0
H.R. 8209,https://www.congress.gov/bill/118th-congress/house-bill/8209,To direct the Secretary of Homeland Security to notify Members of Congress and United States Governors each time a migrant flight lands in such official's area of jurisdiction.,"Huizenga, Bill [Rep.-R-MI-4]",5/1/2024,"House - Agriculture, Judiciary",Referred to the House Committee on the Judiciary.,2
H.R. 8208,https://www.congress.gov/bill/118th-congress/house-bill/8208,"To prohibit the use of Federal funds to finalize, implement, or enforce the interim final rule of the Bureau of Industry and Security relating to enhancing the control structure for firearms and related items and advancing human rights issued on April 26, 2024 (89 Fed. Reg. 34680).","Green, Mark E. [Rep.-R-TN-7]",5/1/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,17
H.R. 8207,https://www.congress.gov/bill/118th-congress/house-bill/8207,"To provide for the establishment of Medicare part E public health plans, and for other purposes.","Gomez, Jimmy [Rep.-D-CA-34]",5/1/2024,"House - Energy and Commerce, Education and the Workforce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and the Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8206,https://www.congress.gov/bill/118th-congress/house-bill/8206,"To ensure that Big Cypress National Preserve may not be designated as wilderness or as a component of the National Wilderness Preservation System, and for other purposes.","Franklin, C. Scott [Rep.-R-FL-18]",5/1/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,11
H.R. 8205,https://www.congress.gov/bill/118th-congress/house-bill/8205,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide that Byrne grant funds may be used for public safety report systems, and for other purposes.","Fitzgerald, Scott [Rep.-R-WI-5]",5/1/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,4
H.R. 8204,https://www.congress.gov/bill/118th-congress/house-bill/8204,"To amend titles 5 and 31, United States Code, to require regulatory early notice by agencies, and for other purposes.","Davis, Donald G. [Rep.-D-NC-1]",5/1/2024,"House - Judiciary, Small Business","Referred to the Committee on the Judiciary, and in addition to the Committee on Small Business, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8203,https://www.congress.gov/bill/118th-congress/house-bill/8203,To prevent and address intentional misuse of subrecipient TANF funds.,"Davis, Danny K. [Rep.-D-IL-7]",5/1/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,5
H.R. 8202,https://www.congress.gov/bill/118th-congress/house-bill/8202,"To amend title 38, United States Code, to provide for a presumption of service-connection under the laws administered by the Secretary of Veterans Affairs for certain diseases associated with the COVID-19 vaccine that become manifest during the one-year period following the receipt of the vaccine, and for other purposes.","Davidson, Warren [Rep.-R-OH-8]",5/1/2024,"House - Veterans' Affairs, Armed Services","Referred to the Committee on Veterans' Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",24
H.R. 8201,https://www.congress.gov/bill/118th-congress/house-bill/8201,"To amend the Internal Revenue Code of 1986 to lower the corporate tax rate for small businesses and close the carried interest loophole, and for other purposes.","Craig, Angie [Rep.-D-MN-2]",5/1/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,0
H.R. 8200,https://www.congress.gov/bill/118th-congress/house-bill/8200,"To amend title III of the Public Health Service Act to direct the Secretary of Health and Human Services, acting through the Administrator of the Health Resources and Services Administration, to award grants to eligible entities to carry out construction or modernization projects designed to strengthen and increase capacity within the specialized pediatric health care infrastructure, and for other purposes.","Cárdenas, Tony [Rep.-D-CA-29]",5/1/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,6
H.R. 8199,https://www.congress.gov/bill/118th-congress/house-bill/8199,To amend the Food and Nutrition Act of 2008 to simplify supplemental nutrition assistance program access for elderly and disabled individuals.,"Caraveo, Yadira [Rep.-D-CO-8]",5/1/2024,House - Agriculture,Referred to the House Committee on Agriculture.,17
H.R. 8198,https://www.congress.gov/bill/118th-congress/house-bill/8198,"To reauthorize and improve the relending program to resolve ownership and succession on farmland, and for other purposes.","Bishop, Sanford D. [Rep.-D-GA-2]",5/1/2024,House - Agriculture,Referred to the House Committee on Agriculture.,2
H.R. 8197,https://www.congress.gov/bill/118th-congress/house-bill/8197,"To amend the Chemical and Biological Weapons Control and Warfare Elimination Act of 1991 to impose sanctions on foreign countries in response to acts concerning chemical or biological programs that cause injury to other foreign countries, and for other purposes.","Banks, Jim [Rep.-R-IN-3]",5/1/2024,"House - Foreign Affairs, Financial Services, Oversight and Accountability","Referred to the Committee on Foreign Affairs, and in addition to the Committees on Financial Services, and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8196,https://www.congress.gov/bill/118th-congress/house-bill/8196,"To amend the Fair Debt Collection Practices Act to safeguard access to information for consumers and to stop abusive debt litigation, and for other purposes.","Bonamici, Suzanne [Rep.-D-OR-1]",5/1/2024,House - Financial Services,Referred to the House Committee on Financial Services.,6
H.R. 8195,https://www.congress.gov/bill/118th-congress/house-bill/8195,SAP Act of 2024,"Bergman, Jack [Rep.-R-MI-1]",5/1/2024,"House - Judiciary, Budget",Ordered to be Reported by the Yeas and Nays: 16 - 9.,24
H.R. 8194,https://www.congress.gov/bill/118th-congress/house-bill/8194,To amend the Internal Revenue Code of 1986 to exclude compensation from secondary employment for certain taxpayers from the income tax and payroll taxes.,"Bacon, Don [Rep.-R-NE-2]",5/1/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,0
H.R. 8193,https://www.congress.gov/bill/118th-congress/house-bill/8193,"To prohibit and restrict certain actions in the Bristol Bay watershed, and for other purposes.","Peltola, Mary Sattler [Rep.-D-AK-At Large]",5/1/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1
H.R. 8192,https://www.congress.gov/bill/118th-congress/house-bill/8192,"To amend the National Voter Registration Act of 1993 to require States to designate public high schools as voter registration agencies, to direct such schools to conduct voter registration drives for students attending such schools, to direct the Secretary of Education to make grants to reimburse such schools for the costs of conducting such voter registration drives, and for other purposes.","Wilson, Frederica S. [Rep.-D-FL-24]",4/30/2024,"House - House Administration, Education and the Workforce","Referred to the Committee on House Administration, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",16
H.R. 8191,https://www.congress.gov/bill/118th-congress/house-bill/8191,To prohibit discrimination based on an individual's texture or style of hair.,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",4/30/2024,"House - Judiciary, Education and the Workforce","Referred to the Committee on the Judiciary, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",88
H.R. 8190,https://www.congress.gov/bill/118th-congress/house-bill/8190,"To review and consider terminating the designation of the State of Qatar as a major non-NATO ally, and for other purposes.","Wagner, Ann [Rep.-R-MO-2]",4/30/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1
H.R. 8189,https://www.congress.gov/bill/118th-congress/house-bill/8189,"To encourage States to voluntarily pass laws to authorize civil damages and equitable relief for nonconsensual sexual protection barrier removal, and for other purposes.","Torres, Norma J. [Rep.-D-CA-35]",4/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,8
H.R. 8188,https://www.congress.gov/bill/118th-congress/house-bill/8188,"To create a civil action for non-consensual sexual protection barrier removal, and for other purposes.","Torres, Norma J. [Rep.-D-CA-35]",4/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,8
H.R. 8187,https://www.congress.gov/bill/118th-congress/house-bill/8187,"To direct the Secretary of Energy to establish and carry out a program to support the development, maintenance, implementation, and adoption of digital identification systems for advanced energy technologies for the purpose of increasing critical material supply chain transparency.","Tonko, Paul [Rep.-D-NY-20]",4/30/2024,"House - Energy and Commerce, Science, Space, and Technology","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8186,https://www.congress.gov/bill/118th-congress/house-bill/8186,"To require the Secretary of Housing and Urban Development to establish a grant and loan program that provides amounts to eligible entities to use to develop, create, or preserve qualifying affordable dwelling units, and for other purposes.","Stevens, Haley M. [Rep.-D-MI-11]",4/30/2024,House - Financial Services,Referred to the House Committee on Financial Services.,2
H.R. 8185,https://www.congress.gov/bill/118th-congress/house-bill/8185,"To amend the Trafficking Victims Protection Act of 2000 to include financial criminal activities associated with the facilitation of severe forms of trafficking in persons within the factors considered as indicia of serious and sustained efforts to eliminate severe forms of trafficking in persons, and for other purposes.","Steil, Bryan [Rep.-R-WI-1]",4/30/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2
H.R. 8184,https://www.congress.gov/bill/118th-congress/house-bill/8184,To amend the Internal Revenue Code of 1986 to repeal the scheduled reduction in the deduction for foreign-derived intangible income.,"Steel, Michelle [Rep.-R-CA-45]",4/30/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,7
H.R. 8183,https://www.congress.gov/bill/118th-congress/house-bill/8183,"To direct the Attorney General to convene a national working group to study proactive strategies and needed resources for the identification and rescue of children from sexual exploitation and abuse, and for other purposes.","Spanberger, Abigail Davis [Rep.-D-VA-7]",4/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,2
H.R. 8182,https://www.congress.gov/bill/118th-congress/house-bill/8182,"To establish the Ocmulgee Mounds National Park and Preserve in the State of Georgia, and for other purposes.","Scott, Austin [Rep.-R-GA-8]",4/30/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,12
H.R. 8181,https://www.congress.gov/bill/118th-congress/house-bill/8181,"To prohibit the Consumer Product Safety Commission from issuing a rule related to table saws until 5 years after a patent related to the saws has been dedicate to the public or expired, and for other purposes.","Perez, Marie Gluesenkamp [Rep.-D-WA-3]",4/30/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2
H.R. 8180,https://www.congress.gov/bill/118th-congress/house-bill/8180,"To amend the Consolidated Appropriations Act, 2022 with respect to a civil action relating to the disclosure of intimate images.","Mace, Nancy [Rep.-R-SC-1]",4/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
H.R. 8179,https://www.congress.gov/bill/118th-congress/house-bill/8179,"To require the Secretary of Agriculture to carry out research and development with respect to winter oilseed crops, and for other purposes.","Kustoff, David [Rep.-R-TN-8]",4/30/2024,House - Agriculture,Referred to the House Committee on Agriculture.,3
H.R. 8178,https://www.congress.gov/bill/118th-congress/house-bill/8178,To amend the Workforce Innovation and Opportunity Act to remove the requirements relating to registered apprenticeships.,"Good, Bob [Rep.-R-VA-5]",4/30/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,4
H.R. 8177,https://www.congress.gov/bill/118th-congress/house-bill/8177,"To amend title 5, United States Code, to require senior Government officials and their family members to divest foreign financial interests, and for other purposes.","Golden, Jared F. [Rep.-D-ME-2]",4/30/2024,"House - Oversight and Accountability, House Administration","Referred to the Committee on Oversight and Accountability, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8176,https://www.congress.gov/bill/118th-congress/house-bill/8176,"To provide for disclosures of certain foreign contributions, and for other purposes.","Golden, Jared F. [Rep.-D-ME-2]",4/30/2024,"House - House Administration, Ways and Means, Judiciary","Referred to the Committee on House Administration, and in addition to the Committees on Ways and Means, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8175,https://www.congress.gov/bill/118th-congress/house-bill/8175,"To amend the Internal Revenue Code of 1986 to prohibit 501(c)(4) entities from using more than 10 percent of total expenditures on certain political expenditures, and for other purposes.","Golden, Jared F. [Rep.-D-ME-2]",4/30/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,0
H.R. 8174,https://www.congress.gov/bill/118th-congress/house-bill/8174,"To amend the Foreign Agents Registration Act of 1938 to prohibit certain individuals from service as an agent of a foreign principal, and for other purposes.","Golden, Jared F. [Rep.-D-ME-2]",4/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,1
H.R. 8173,https://www.congress.gov/bill/118th-congress/house-bill/8173,"To amend title 18, United States Code, to prohibit former Members of Congress from engaging in lobbying contacts.","Golden, Jared F. [Rep.-D-ME-2]",4/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,1
H.R. 8172,https://www.congress.gov/bill/118th-congress/house-bill/8172,To amend the Federal Election Campaign Act of 1971 to require certain online platforms which display political advertisements to display with the advertisement a notice identifying the sponsor of the advertisement and to ensure that the notice will continue to be presented in the advertisement if a viewer of the advertisement shares the advertisement with others on that platform.,"Golden, Jared F. [Rep.-D-ME-2]",4/30/2024,House - House Administration,Referred to the House Committee on House Administration.,0
H.R. 8171,https://www.congress.gov/bill/118th-congress/house-bill/8171,"To amend the Lead-Based Paint Poisoning Prevention Act to provide for additional procedures for families with children under the age of 6, and for other purposes.","García, Jesús G. ""Chuy"" [Rep.-D-IL-4]",4/30/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 8170,https://www.congress.gov/bill/118th-congress/house-bill/8170,"To amend title 40, United States Code, to provide for certain exceptions to the mileage limitation for Appalachian development highway system projects.","Edwards, Chuck [Rep.-R-NC-11]",4/30/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,2
H.R. 8169,https://www.congress.gov/bill/118th-congress/house-bill/8169,"To require the Secretary of Agriculture to prohibit the use of lead ammunition on all lands and waters under the jurisdiction and control of the Forest Service, and for other purposes.","Dean, Madeleine [Rep.-D-PA-4]",4/30/2024,"House - Agriculture, Natural Resources","Referred to the Committee on Agriculture, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8168,https://www.congress.gov/bill/118th-congress/house-bill/8168,"To require the Secretary of Veterans Affairs to award grants to establish, or expand upon, master's degree programs in orthotics and prosthetics, and for other purposes.","Cartwright, Matt [Rep.-D-PA-8]",4/30/2024,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,7
H.R. 8167,https://www.congress.gov/bill/118th-congress/house-bill/8167,To require the Secretary of Defense to award grants to fund research on orthotics and prosthetics.,"Cartwright, Matt [Rep.-D-PA-8]",4/30/2024,House - Armed Services,Referred to the House Committee on Armed Services.,7
H.R. 8166,https://www.congress.gov/bill/118th-congress/house-bill/8166,"To require the Secretary of Defense to issue regulations requiring that optional combat boots worn by members of the armed forces wear be made in America, and for other purposes.","Budzinski, Nikki [Rep.-D-IL-13]",4/30/2024,House - Armed Services,Referred to the House Committee on Armed Services.,2
H.R. 8165,https://www.congress.gov/bill/118th-congress/house-bill/8165,"To amend title 38, United States Code, to establish qualifications for the appointment of a person as a marriage and family therapist, qualified to provide clinical supervision, in the Veterans Health Administration.","Brownley, Julia [Rep.-D-CA-26]",4/30/2024,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,0
H.R. 8164,https://www.congress.gov/bill/118th-congress/house-bill/8164,"To amend the Lacey Act Amendments of 1981 to prohibit certain activities involving prohibited primate species, and for other purposes.","Blumenauer, Earl [Rep.-D-OR-3]",4/30/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,18
H.R. 8163,https://www.congress.gov/bill/118th-congress/house-bill/8163,FORKS Made in America Act,"Tenney, Claudia [Rep.-R-NY-24]",4/29/2024,House - Armed Services,Referred to the House Committee on Armed Services.,1
H.R. 8162,https://www.congress.gov/bill/118th-congress/house-bill/8162,"To amend the National Capital Revitalization and Self-Government Improvement Act of 1997 to treat domestic partnerships as marriage for purposes of the program of benefits paid by the Federal government for survivors of a District of Columbia police officer, firefighter, or teacher in the same manner and to the same extent that domestic partnerships are treated as marriage for purposes of such benefits which are paid by the District of Columbia, to conform the age limit after which a surviving spouse of a police officer, firefighter, or teacher may remarry without losing survivor benefits under such program to the age limit established with respect to survivor benefits of Federal employees, and for other purposes.","Norton, Eleanor Holmes [Del.-D-DC-At Large]",4/29/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,0
H.R. 8161,https://www.congress.gov/bill/118th-congress/house-bill/8161,"To prohibit the Secretary of the Interior and the Secretary of the Army from retiring an energy generation source if that retirement would raise customer electricity rates and decrease regional energy reliability by more than 10 percent, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,"House - Transportation and Infrastructure, Natural Resources","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8160,https://www.congress.gov/bill/118th-congress/house-bill/8160,"To prohibit the breaching of federally operated dams in certain circumstances, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,4
H.R. 8159,https://www.congress.gov/bill/118th-congress/house-bill/8159,"To prohibit the breaching of federally operated dams if such breach would result in the replacement energy resource occupying additional acreage, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,4
H.R. 8158,https://www.congress.gov/bill/118th-congress/house-bill/8158,"To require the Secretary of the Army to acquire technology that uses acoustic sound to deter pinniped predators at such Dam, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,4
H.R. 8157,https://www.congress.gov/bill/118th-congress/house-bill/8157,"To prohibit the Secretary of the Army from carrying out certain spillage operations on the Lower Snake Rivers dams, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,3
H.R. 8156,https://www.congress.gov/bill/118th-congress/house-bill/8156,"To direct the Comptroller General of the United States to submit to Congress an updated report on the roles, responsibilities, and practices of the Council on Environmental Quality.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,4
H.R. 8155,https://www.congress.gov/bill/118th-congress/house-bill/8155,"To direct the Secretary of Energy to develop fish and wildlife program funding alternatives to mitigate the cost to Bonneville Power Administration ratepayers, and for other purposes.","Newhouse, Dan [Rep.-R-WA-4]",4/29/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,3
H.R. 8154,https://www.congress.gov/bill/118th-congress/house-bill/8154,To amend title XVIII of the Social Security Act to extend telehealth services for federally qualified health centers and rural health clinics.,"Murphy, Gregory F. [Rep.-R-NC-3]",4/29/2024,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8153,https://www.congress.gov/bill/118th-congress/house-bill/8153,"To amend the Wall Street Transparency and Accountability Act of 2010 to provide covered banking institutions with certain exemptions related to interest rate swaps, and for other purposes.","Mooney, Alexander X. [Rep.-R-WV-2]",4/29/2024,"House - Financial Services, Agriculture","Referred to the Committee on Financial Services, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8152,https://www.congress.gov/bill/118th-congress/house-bill/8152,Remote Access Security Act,"Lawler, Michael [Rep.-R-NY-17]",4/29/2024,House - Foreign Affairs,Ordered to be Reported by Unanimous Consent.,4
H.R. 8151,https://www.congress.gov/bill/118th-congress/house-bill/8151,To amend title XVIII of the Social Security Act to expand eligible practitioners to furnish telehealth services.,"Kelly, Mike [Rep.-R-PA-16]",4/29/2024,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
