Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8497,https://www.congress.gov/bill/118th-congress/house-bill/8497,To provide the Secretary of Homeland Security certain direct hiring authorities.,"Gallego, Ruben [Rep.-D-AZ-3]",5/22/2024,"House - Homeland Security, Oversight and Accountability","Referred to the Committee on Homeland Security, and in addition to the Committee on Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8496,https://www.congress.gov/bill/118th-congress/house-bill/8496,To amend the Immigration and Nationality Act with respect to the definition of protection determination and protection merits interview.,"Gallego, Ruben [Rep.-D-AZ-3]",5/22/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
H.R. 8495,https://www.congress.gov/bill/118th-congress/house-bill/8495,"To ensure electric vehicle companies do not use child or slave labor in the manufacture of, or sourcing of materials for, electric vehicles.","Duarte, John S. [Rep.-R-CA-13]",5/22/2024,"House - Oversight and Accountability, Education and the Workforce, Ways and Means","Referred to the Committee on Oversight and Accountability, and in addition to the Committees on Education and the Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8494,https://www.congress.gov/bill/118th-congress/house-bill/8494,"To provide that certain local parks are eligible for E-Rate support, to provide that local parks are eligible for the loan, lease, or transfer of certain excess research equipment, and to direct the Secretary of Labor to carry out a program to make grants for conducting technology training programs in local parks, and for other purposes.","Davis, Danny K. [Rep.-D-IL-7]",5/22/2024,"House - Education and the Workforce, Energy and Commerce, Science, Space, and Technology","Referred to the Committee on Education and the Workforce, and in addition to the Committees on Energy and Commerce, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8493,https://www.congress.gov/bill/118th-congress/house-bill/8493,"To establish the Task Force to Stop Price Gouging, and for other purposes.","Craig, Angie [Rep.-D-MN-2]",5/22/2024,"House - Judiciary, Agriculture, Energy and Commerce","Referred to the Committee on the Judiciary, and in addition to the Committees on Agriculture, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8492,https://www.congress.gov/bill/118th-congress/house-bill/8492,"To prohibit wildlife killing contests on public lands, and for other purposes.","Cohen, Steve [Rep.-D-TN-9]",5/22/2024,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",16
H.R. 8491,https://www.congress.gov/bill/118th-congress/house-bill/8491,"To amend the Mineral Leasing Act to make certain improvements in the laws relating to coal royalties, and for other purposes.","Cartwright, Matt [Rep.-D-PA-8]",5/22/2024,"House - Natural Resources, Energy and Commerce, Financial Services, Transportation and Infrastructure","Referred to the Committee on Natural Resources, and in addition to the Committees on Energy and Commerce, Financial Services, and Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8490,https://www.congress.gov/bill/118th-congress/house-bill/8490,"To establish the Office of Social Connection Policy, to establish a national strategy on social connection, and for other purposes.","Bera, Ami [Rep.-D-CA-6]",5/22/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,0
H.R. 8489,https://www.congress.gov/bill/118th-congress/house-bill/8489,"To amend title 5, United States Code, to require additional ethics disclosures for the President, Vice President, and their family members, and for other purposes.","Comer, James [Rep.-R-KY-1]",5/22/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,1
H.R. 8488,https://www.congress.gov/bill/118th-congress/house-bill/8488,"To amend the Food Security Act of 1985 to expand the provision of farmer-led technical assistance, and for other purposes.","Vasquez, Gabe [Rep.-D-NM-2]",5/21/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8487,https://www.congress.gov/bill/118th-congress/house-bill/8487,"To amend title II of the Social Security Act to exempt widows and widowers of police officers, firefighters, and correctional officers from the government pension offset.","Van Drew, Jefferson [Rep.-R-NJ-2]",5/21/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 8486,https://www.congress.gov/bill/118th-congress/house-bill/8486,"To direct the Secretary of Transportation, in coordination with the Secretary of Housing and Urban Development, to establish a thriving communities grant program.","Torres, Norma J. [Rep.-D-CA-35]",5/21/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,0
H.R. 8485,https://www.congress.gov/bill/118th-congress/house-bill/8485,"To amend title 5, United States Code, to prohibit the President, Vice President, Members of Congress, and other senior Executive branch personnel from accepting any foreign emoluments, and for other purposes.","Raskin, Jamie [Rep.-D-MD-8]",5/21/2024,"House - Oversight and Accountability, House Administration, Rules","Referred to the Committee on Oversight and Accountability, and in addition to the Committees on House Administration, and Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",20
H.R. 8484,https://www.congress.gov/bill/118th-congress/house-bill/8484,"To amend the Buy Indian Act to include the Secretary of Agriculture, and for other purposes.","Peltola, Mary Sattler [Rep.-D-AK-At Large]",5/21/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,1
H.R. 8483,https://www.congress.gov/bill/118th-congress/house-bill/8483,"To amend the Financial Services and General Government Appropriations Act, 2024, to make a technical correction to the Federal payment made in such Act to the District of Columbia Public Defender Service.","Norton, Eleanor Holmes [Del.-D-DC-At Large]",5/21/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,1
H.R. 8482,https://www.congress.gov/bill/118th-congress/house-bill/8482,"To deter conflict in the Taiwan Strait by establishing conditions for suspending normal trade relations with the People's Republic of China, and for other purposes.","Moore, Blake D. [Rep.-R-UT-1]",5/21/2024,"House - Ways and Means, Foreign Affairs, Rules","Referred to the Committee on Ways and Means, and in addition to the Committees on Foreign Affairs, and Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8481,https://www.congress.gov/bill/118th-congress/house-bill/8481,"To amend title 38, United States Code, to establish an extended deadline for the submission of applications regarding emergency treatment furnished in non-Department of Veterans Affairs medical facilities, and for other purposes.","Mast, Brian J. [Rep.-R-FL-21]",5/21/2024,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2
H.R. 8480,https://www.congress.gov/bill/118th-congress/house-bill/8480,"To require agencies to update mortgage underwriting programs, guidelines, standards, and systems to require lenders to consider, in the mortgage credit evaluation process, any amounts a borrower has in any brokerage account associated with a cryptocurrency exchange.","Mace, Nancy [Rep.-R-SC-1]",5/21/2024,"House - Financial Services, Veterans' Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8479,https://www.congress.gov/bill/118th-congress/house-bill/8479,"To establish an Interagency Council on Service to promote and strengthen opportunities for military service, national service, and public service for all people of the United States, and for other purposes.","Houlahan, Chrissy [Rep.-D-PA-6]",5/21/2024,"House - Education and the Workforce, Armed Services, Foreign Affairs, Oversight and Accountability","Referred to the Committee on Education and the Workforce, and in addition to the Committees on Armed Services, Foreign Affairs, and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8478,https://www.congress.gov/bill/118th-congress/house-bill/8478,"To amend the Investor Protection and Securities Reform Act of 2010 to provide grants to States for enhanced protection of senior investors and senior policyholders, and for other purposes.","Gottheimer, Josh [Rep.-D-NJ-5]",5/21/2024,House - Financial Services,Referred to the House Committee on Financial Services.,1
H.R. 8477,https://www.congress.gov/bill/118th-congress/house-bill/8477,"To direct the Secretary of Homeland Security to develop a curriculum to train State, local, Tribal, territorial, and campus law enforcement agencies to identify, investigate, and report acts of organized retail crime, and for other purposes.","D'Esposito, Anthony [Rep.-R-NY-4]",5/21/2024,"House - Judiciary, Homeland Security","Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8476,https://www.congress.gov/bill/118th-congress/house-bill/8476,To direct the Secretary of the Army to designate the Deputy Under Secretary of the Army as principal official responsible for explosive ordnance disposal.,"Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",5/21/2024,House - Armed Services,Referred to the House Committee on Armed Services.,1
