bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1724917,1284907,2023-03-24,House,"On Agreeing to the Amendment RC# 154",420,5,0,15,440
1724917,1284908,2023-03-24,House,"On Agreeing to the Amendment RC# 155",203,217,0,21,441
1724917,1284909,2023-03-24,House,"On Agreeing to the Amendment RC# 156",161,265,0,15,441
1724917,1284910,2023-03-24,House,"On Agreeing to the Amendment RC# 157",107,317,0,16,440
1724917,1284911,2023-03-24,House,"On Agreeing to the Amendment RC# 158",113,311,0,16,440
1724917,1284912,2023-03-24,House,"On Agreeing to the Amendment RC# 159",83,331,0,26,440
1724917,1284913,2023-03-24,House,"On Motion to Recommit RC# 160",203,218,0,13,434
1724917,1284914,2023-03-24,House,"On Passage RC# 161",213,208,0,14,435
1724918,1272271,2023-03-08,House,"On Agreeing to the Resolution RC# 136",103,321,0,11,435
1727214,1312694,2023-04-26,House,"On Motion to Suspend the Rules and Pass RC# 200",409,11,0,15,435
1727229,1312953,2023-04-26,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 197",422,1,0,11,434
1727242,1350938,2023-07-25,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 365",250,163,1,19,433
1729811,1315039,2023-04-28,House,"On Passage RC# 202",221,202,0,12,435
1729811,1318246,2023-05-03,Senate,"On the Joint Resolution H.J.Res. 39 RC# 109",56,41,0,3,100
1729811,1332931,2023-05-24,House,"Passage, Objections of the President To The Contrary Notwithstanding RC# 233",214,205,0,16,435
1729816,1272389,2023-03-08,House,"On Ordering the Previous Question RC# 134",217,205,0,12,434
1729816,1272390,2023-03-08,House,"On Agreeing to the Resolution, as Amended RC# 135",216,206,0,12,434
1731414,1327377,2023-05-17,Senate,"On the Joint Resolution S.J.Res. 18 RC# 130",50,47,0,3,100
1732006,1355350,2023-09-14,House,"On Motion to Recommit RC# 390",193,212,0,28,433
1732006,1355351,2023-09-14,House,"On Passage RC# 391",222,190,0,22,434
1732966,1305873,2023-04-19,House,"On Passage RC# 188",229,189,0,17,435
1732966,1326169,2023-05-16,Senate,"On the Joint Resolution H.J.Res. 42 RC# 126",56,43,0,1,100
1732966,1343898,2023-06-13,House,"Passage, Objections of the President To The Contrary Notwithstanding RC# 253",233,197,0,4,434
1737357,1361982,2023-12-05,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 694",356,61,0,16,433
1737362,1355352,2023-09-20,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 401",423,0,0,10,433
1737373,1350572,2023-07-11,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 290",398,11,0,24,433
1737407,1354908,2023-09-13,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 386",1,0,0,0,1
1741370,1345879,2023-06-20,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 272",407,0,0,26,433
1741372,1289042,2023-03-29,House,"On Agreeing to the Amendment RC# 167",221,208,0,11,440
1741372,1289043,2023-03-29,House,"On Agreeing to the Amendment RC# 168",228,206,0,6,440
1741372,1289044,2023-03-29,House,"On Agreeing to the Amendment RC# 169",245,189,0,6,440
1741372,1289045,2023-03-29,House,"On Agreeing to the Amendment RC# 170",268,163,0,9,440
1741372,1289046,2023-03-29,House,"On Agreeing to the Amendment RC# 171",251,181,0,8,440
1741372,1289047,2023-03-29,House,"On Agreeing to the Amendment RC# 172",210,223,0,7,440
1741372,1289048,2023-03-29,House,"On Agreeing to the Amendment RC# 173",96,336,0,8,440
1741372,1290284,2023-03-30,House,"On Agreeing to the Amendment RC# 174",407,26,0,7,440
1741372,1290285,2023-03-30,House,"On Agreeing to the Amendment RC# 175",323,109,0,8,440
1741372,1290286,2023-03-30,House,"On Agreeing to the Amendment RC# 176",205,228,0,7,440
1741372,1290287,2023-03-30,House,"On Agreeing to the Amendment RC# 177",405,24,0,11,440
1741372,1290288,2023-03-30,House,"On Agreeing to the Amendment RC# 178",201,230,0,9,440
1741372,1290289,2023-03-30,House,"On Agreeing to the Amendment RC# 179",244,189,0,7,440
1741372,1290290,2023-03-30,House,"On Agreeing to the Amendment RC# 180",220,213,0,7,440
1741372,1290291,2023-03-30,House,"On Motion to Recommit RC# 181",207,222,0,6,435
1741372,1290292,2023-03-30,House,"On Passage RC# 182",225,204,0,6,435
