bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1651035,2639963,text,230133,application/pdf,Introduced,https://legiscan.com/US/text/HB37/id/2639963,https://www.congress.gov/118/bills/hr37/BILLS-118hr37ih.pdf
1650971,2639899,text,239696,application/pdf,Introduced,https://legiscan.com/US/text/HB38/id/2639899,https://www.congress.gov/118/bills/hr38/BILLS-118hr38ih.pdf
1651191,2639875,text,235313,application/pdf,Introduced,https://legiscan.com/US/text/HB39/id/2639875,https://www.congress.gov/118/bills/hr39/BILLS-118hr39ih.pdf
1651205,2638247,text,259682,application/pdf,Introduced,https://legiscan.com/US/text/HB40/id/2638247,https://www.congress.gov/118/bills/hr40/BILLS-118hr40ih.pdf
1650669,2638241,text,232519,application/pdf,Introduced,https://legiscan.com/US/text/HB41/id/2638241,https://www.congress.gov/118/bills/hr41/BILLS-118hr41ih.pdf
1650866,2784322,text,230876,application/pdf,Introduced,https://legiscan.com/US/text/HB42/id/2784322,https://www.congress.gov/118/bills/hr42/BILLS-118hr42ih.pdf
1650667,2638243,text,230696,application/pdf,Introduced,https://legiscan.com/US/text/HB43/id/2638243,https://www.congress.gov/118/bills/hr43/BILLS-118hr43ih.pdf
1650598,2754704,text,264186,application/pdf,Introduced,https://legiscan.com/US/text/HB44/id/2754704,https://www.congress.gov/118/bills/hr44/BILLS-118hr44ih.pdf
1650725,2639904,text,239222,application/pdf,Introduced,https://legiscan.com/US/text/HB45/id/2639904,https://www.congress.gov/118/bills/hr45/BILLS-118hr45ih.pdf
1650577,2640023,text,230564,application/pdf,Introduced,https://legiscan.com/US/text/HB46/id/2640023,https://www.congress.gov/118/bills/hr46/BILLS-118hr46ih.pdf
1650747,2753700,text,231893,application/pdf,Introduced,https://legiscan.com/US/text/HB47/id/2753700,https://www.congress.gov/118/bills/hr47/BILLS-118hr47ih.pdf
1650799,2639565,text,229800,application/pdf,Introduced,https://legiscan.com/US/text/HB48/id/2639565,https://www.congress.gov/118/bills/hr48/BILLS-118hr48ih.pdf
1650973,2639779,text,231187,application/pdf,Introduced,https://legiscan.com/US/text/HB49/id/2639779,https://www.congress.gov/118/bills/hr49/BILLS-118hr49ih.pdf
1650768,2639849,text,231227,application/pdf,Introduced,https://legiscan.com/US/text/HB50/id/2639849,https://www.congress.gov/118/bills/hr50/BILLS-118hr50ih.pdf
1651123,2651015,text,389393,application/pdf,Introduced,https://legiscan.com/US/text/HB51/id/2651015,https://www.congress.gov/118/bills/hr51/BILLS-118hr51ih.pdf
1650936,2639844,text,243971,application/pdf,Introduced,https://legiscan.com/US/text/HB52/id/2639844,https://www.congress.gov/118/bills/hr52/BILLS-118hr52ih.pdf
1650868,2639831,text,239565,application/pdf,Introduced,https://legiscan.com/US/text/HB53/id/2639831,https://www.congress.gov/118/bills/hr53/BILLS-118hr53ih.pdf
1650634,2639871,text,230861,application/pdf,Introduced,https://legiscan.com/US/text/HB54/id/2639871,https://www.congress.gov/118/bills/hr54/BILLS-118hr54ih.pdf
1650764,2754159,text,229219,application/pdf,Introduced,https://legiscan.com/US/text/HB55/id/2754159,https://www.congress.gov/118/bills/hr55/BILLS-118hr55ih.pdf
1650547,2641355,text,247453,application/pdf,Introduced,https://legiscan.com/US/text/HB56/id/2641355,https://www.congress.gov/118/bills/hr56/BILLS-118hr56ih.pdf
1650783,2639836,text,243687,application/pdf,Introduced,https://legiscan.com/US/text/HB57/id/2639836,https://www.congress.gov/118/bills/hr57/BILLS-118hr57ih.pdf
1650578,2756550,text,230598,application/pdf,Introduced,https://legiscan.com/US/text/HB58/id/2756550,https://www.congress.gov/118/bills/hr58/BILLS-118hr58ih.pdf
1651103,2639841,text,231148,application/pdf,Introduced,https://legiscan.com/US/text/HB59/id/2639841,https://www.congress.gov/118/bills/hr59/BILLS-118hr59ih.pdf
1650730,2640025,text,231997,application/pdf,Introduced,https://legiscan.com/US/text/HB60/id/2640025,https://www.congress.gov/118/bills/hr60/BILLS-118hr60ih.pdf
